SkuID,Zone,Aisle,Bay,Level,Position
ESS4153-1/5BLU,A,101,A,2,B
ESS4152-1/5ASST,A,101,A,3,B
ESS4152,A,101,A,5,B
ESSH10U13,A,101,C,1,B
ESS42591,A,101,C,2,B
SPR1014,A,101,C,5,B
SPR00580,A,101,E,1,B
ESS4152-1/5BLU,A,101,E,3,B
ESSR17A-OX,A,101,E,5,B
ESS4152-1/5BGR,A,101,G,1,B
ESS15210,A,101,G,3,B
SPRSP521/5-BGR,A,101,G,5,B
SPRSP531/5-BGR,A,101,H,2,B
SPRSP53,A,101,H,5,A
ESS4152-1/5AQU,A,101,H,5,C
ESSR-19A-OX,A,101,I,2,B
ESSK-17A-OX,A,101,I,3,B
ESS4152-1/5BUR,A,101,I,5,B
SPRSP531/5-RED,A,101,J,1,B
ESS4152-1/5GRA,A,101,J,2,B
ESS4152-1/5ORA,A,101,J,3,B
ESS4152-1/5NAV,A,101,J,4,B
ESSH1502F13,A,101,K,1,B
ESSH10U13BL,A,101,K,2,A
OKI41962802,A,101,K,2,C
AVE79165,A,101,K,3,A
ESSCC43008,A,101,K,3,C
ESSK-17D-OX,A,101,K,4,B
SPRSP531/5-YEL,A,101,K,5,B
SPR1014-2HP,A,101,L,1,A
AVE02717,A,101,L,1,C
ESS57555,A,101,L,2,B
ESSH110D,A,101,L,5,B
ESS55811,A,101,M,1,B
ESSR-17M-OX,A,101,M,2,B
ESSH20U1,A,101,M,3,A
ESSH150F13,A,101,M,3,C
ESS4153X2BLU,A,101,M,4,B
ESSFM313,A,101,M,5,A
ESS45269,A,101,M,5,C
ESSH110DBL,A,101,N,1,B
SPRSP531/5-BLU,A,101,N,3,B
ESS53498,A,101,N,4,A
ESSH210D,A,101,N,4,C
ESS4152-1/5TEA,A,101,N,5,B
ESSR-17D-OX,A,101,O,1,B
ESSH110DOR,A,101,O,2,B
ESSH2502F13,A,101,O,3,B
ESS4152-1/5PIN,A,101,O,4,B
ESSH110DR,A,101,O,5,B
ESSR-19D-OX,A,101,P,1,B
ESSH20U13,A,101,P,2,B
ESSFM310,A,101,P,3,A
ESS4153X2,A,101,P,4,B
ESS78542,A,101,P,5,B
SPRSP2-4915,A,102,A,2,B
AVE05731,A,102,A,5,B
WLJ36610,A,102,B,1,B
SPR5084SP,A,102,B,3,B
SPR82120,A,102,B,4,B
SPR81120,A,102,B,5,B
SPRWB213,A,102,C,1,B
SPRW1011-3HP,A,102,C,2,A
SPR5083SP,A,102,C,2,C
SPRF46-250,A,102,C,3,B
ACC42521,A,102,C,4,A
ESS81613,A,102,C,4,C
ESS57501,A,102,C,5,B
ESS81604,A,102,D,1,B
ESS81614,A,102,D,2,B
ESS81611,A,102,D,3,B
ESS81608,A,102,D,4,B
ESS81615,A,102,D,5,B
ESS81610,A,102,D,6,B
ESS57513,A,102,E,2,B
SPR69111,A,102,E,3,A
SPR69530,A,102,E,3,C
SPR5081SP,A,102,E,5,B
SPRWB213R,A,102,F,1,B
ACC17028,A,102,F,2,B
ACC17041,A,102,F,3,B
ACC17042,A,102,F,4,B
ACC16056,A,102,F,5,B
ESS81605,A,102,F,6,B
SPR69114,A,102,G,1,A
ESSER17M,A,102,G,1,C
ESS81631,A,102,G,3,A
ESS81627,A,102,G,3,B
ESS81624,A,102,G,3,C
