SkuID,UnitLength,UnitWidth,UnitHeight,UnitWeight,CaseQuantity,CaseLength,CaseWidth,CaseHeight,CaseWeight,,
"10,483RUB",34.1,28.8,22.4,885,4,52.1,40.4,60.2,4944,,
"10,484RUB",33.3,28.8,23.7,885,4,52.1,40.4,60.2,4944,,
"10,513RUB",34.1,28.8,22.4,998,4,52.9,40.2,60,5625,,
"10,514RUB",33.8,28.5,23.2,975,4,53.1,39.7,59.2,5103,,
"10,764RUB",36.6,25.4,3.4,612,4,39.7,27.7,22.9,2767,,
"11,906RUB",37.9,30.8,6.1,431,6,39.2,30.8,40.4,3107,,
"12,803RUB",38.7,31.3,12.7,953,3,36.6,32.8,39.7,3493,,
"12,806RUB",34.3,26.5,22.9,1202,3,35.6,80.3,24.2,4491,,
"12,853RUB",37.9,31.5,12.5,1043,3,38.7,32.6,36.9,3833,,
"12,906RUB",35.6,31.8,26.2,1905,3,80.1,36.9,33.1,5888,,
"13,014RUB",41.5,18.8,11.2,408,4,42.5,38.9,23.7,2132,,
"13,021RUB",41.7,18.8,10.7,386,4,43,39.2,23.7,2155,,
"13,514RUB",34.3,18.6,11.2,476,4,37.6,23.9,36.6,2268,,
"13,521RUB",36.4,37.6,23.9,2291,4,34.7,37.2,24.8,9163,,
"13,606RUB",33.3,22.7,17.6,953,3,53.6,35.1,23.4,3470,,
"13,706RUB",33.3,19.6,17.6,989,2,39.4,34.1,18.3,2272,,
"13,806RUB",33.6,16.8,10,440,3,34.3,30.5,17.8,1592,,
"14,316RUB",47,47.5,33.8,3674,1,47,47.5,33.8,3674,,
"14,390RUB",57.5,16.6,14,1361,4,59.7,43.2,59.2,5443,,
"14,395RUB",63.5,38.1,45.8,4536,1,63.5,38.1,45.8,4536,,
"14,410RUB",76.2,42,11.5,6350,4,78.8,44.5,49.1,24948,,
"15,022RUB",35.1,35.1,11,2336,6,36.6,37.1,68.9,15059,,
"15,026RUB",35.6,35.1,11.2,1701,6,68.4,36.4,37.9,11362,,
"15,028RUB",35.6,35.6,11.2,1724,6,46.4,37.2,34.3,6890,,
"15,056RUB",36.6,27,11,476,6,37.4,28.2,65.1,3946,,
"15,066RUB",67.1,23.2,5.6,1792,6,34.3,24.7,68.6,11725,,
"15,068RUB",67.1,23.4,5.6,1814,6,33.6,24.2,68.9,11907,,
"15,071RUB",35.9,26.5,5.6,508,6,33.1,28,36.9,3016,,
"15,072RUB",35.9,26.2,5.6,476,6,37.6,33.8,27.5,3583,,
"15,091RUB",41.5,26.5,6.1,608,6,33.4,27.1,42,4128,,
"15,116RUB",12,10.5,6.4,91,6,25.4,21.4,12.5,862,,
"15,118RUB",11.7,10.5,6.9,132,6,25.2,21.6,12.7,925,,
"15,241RUB",17.1,12.7,6.9,454,6,25.7,18.3,22.4,2880,,
"15,242RUB",16.8,12.7,7.2,467,6,26.2,17.6,22.1,2957,,
"15,245RUB",16.8,12.7,6.9,590,6,18.3,26.2,22.7,3787,,
"15,251RUB",17.1,12.7,6.9,249,6,26.2,17.8,21.9,1674,,
"15,301RUB",20.6,10,2.8,227,6,24.2,14,12.5,476,,
"15,411RUB",24.9,7.7,1.8,50,6,25.4,11.7,9.2,358,,
"15,412RUB",24.9,7.7,1.8,50,6,25.4,11.7,9.2,358,,
"15,415RUB",18.6,6.1,1.6,45,6,26,9.2,11.5,454,,
"15,601RUB",35.9,26,6.1,340,6,38.9,27.7,37.4,2790,,
"15,602RUB",35.9,26,6.7,340,6,40.2,26.7,36.9,2767,,
"15,621RUB",44.2,25.7,6.9,517,6,44.5,39.4,27,5443,,
"15,671RUB",29.3,33.1,6.4,454,6,30.5,39.4,33.7,2722,,
"15,681RUB",23.4,8.4,8.2,345,6,24.2,24.4,18.1,2232,,
"15,682RUB",23.4,8.4,8.2,345,6,24.2,24.4,18.1,2232,,
"15,691RUB",24.4,9.2,8.4,476,6,27.7,25.4,18.3,3093,,
"15,692RUB",24.4,9.2,8.4,476,6,27.7,25.4,18.3,3093,,
"15,701RUB",35.9,26.2,6.1,490,12,53.4,34.3,36.4,6078,,
"15,702RUB",35.6,26.2,6.1,508,12,52.8,33.4,35.9,6554,,
"15,705RUB",35.4,26.5,5.4,612,12,52.8,33.4,35.9,6554,,
"15,711RUB",94,62.3,1.3,1225,6,96.6,63.5,4.4,7348,,
"15,715RUB",99.1,66.1,0.6,907,6,100.4,66.3,7.7,5443,,
"15,731RUB",18.8,12.2,3.6,227,12,25.4,21.6,20.4,2917,,
"15,732RUB",18.8,12.2,3.6,227,12,25.4,21.6,20.4,2917,,
"15,735RUB",18.6,12.2,3.6,272,12,25.4,22.1,20.4,3765,,
"15,741RUB",21.9,18.3,3.6,222,12,23.7,20.6,38.1,2948,,
"15,742RUB",21.9,18.3,3.6,222,12,23.7,20.6,38.1,2948,,
"15,745RUB",22.4,18.3,3.4,272,12,37.9,20.9,23.7,3765,,
"15,762RUB",10.7,6.9,6.7,95,12,27.7,20.6,12.5,1284,,
"15,771RUB",35.9,31.5,19.6,680,6,40.4,38.4,59.7,5080,,
"15,772RUB",37.1,32.8,13.3,658,6,59.7,40.4,38.1,5080,,
"15,791RUB",42,26.5,5.6,590,12,53.1,33.8,42.5,8119,,
"15,792RUB",42,26.5,5.6,590,12,53.1,33.6,42.5,8119,,
"15,796RUB",41.5,26.2,5.6,635,12,53.1,34.6,43.5,9798,,
"15,811RUB",82.6,51.1,6.7,1529,6,97.8,84.4,55.9,9163,,
"15,891RUB",11,6.4,3.9,41,6,22.7,16.8,9.4,354,,
"15,892RUB",11,6.4,3.9,41,6,22.7,16.8,9.4,354,,
"15,895RUB",11,7.2,2.6,45,6,22.9,17.1,9.7,476,,
"15,951RUB",19.1,7.9,3.9,59,6,24.4,19.6,9.2,458,,
